content_id,dislikes
2,1
3,1
4,3
5,2
6,3
7,3
9,5
11,2
12,1
14,6
15,3
16,3
17,5
18,1
19,8
20,2
21,1
23,2
24,5
25,2
26,3
27,1
28,5
29,1
31,3
32,3
33,4
34,2
35,4
36,2
37,4
38,2
39,4
40,1
41,6
42,1
44,3
46,2
47,4
48,4
49,2
50,1
51,1
52,2
53,2
54,2
55,2
57,5
58,3
59,3
60,3
61,4
63,4
64,4
65,1
66,2
70,1
73,1
75,3
76,3
77,2
82,1
83,2
86,2
90,1
91,1
98,1
104,2
115,2
117,1
118,1
128,1
130,1
134,3
138,1
139,3
145,1
146,1
147,1
148,3
150,1
152,3
153,1
159,1
161,3
163,1
164,2
167,1
170,2
171,1
173,2
174,1
175,4
179,1
183,1
184,3
185,2
186,1
201,2
202,1
205,4
206,1
210,1
211,4
215,1
216,2
217,4
218,4
219,1
224,1
225,1
227,4
233,2
234,3
235,1
237,3
243,1
244,1
245,1
246,5
247,2
249,1
253,3
257,1
258,4
262,3
269,1
272,1
273,3
280,1
284,1
285,1
288,1
292,1
293,2
295,3
298,1
304,2
308,2
309,1
313,2
315,1
316,2
319,4
323,3
324,2
333,1
334,1
336,2
341,3
342,1
346,1
347,1
357,1
374,1
391,1
395,1
407,1
411,1
412,3
416,1
417,1
421,1
422,1
423,1
424,1
428,1
432,1
433,2
434,1
435,2
438,2
439,1
440,1
441,1
444,1
446,1
448,1
450,4
461,1
462,6
463,4
473,1
479,1
491,2
496,4
497,3
501,3
506,1
507,1
508,1
509,3
511,2
514,5
527,1
528,1
531,1
536,1
538,1
540,1
541,4
542,3
543,2
544,1
545,2
552,1
554,1
557,1
559,1
562,1
565,2
567,2
568,2
569,1
570,3
572,2
574,2
575,2
579,1
581,1
586,1
593,1
594,1
601,5
602,7
608,1
611,1
613,1
615,1
643,1
645,1
653,1
665,1
668,1
669,1
670,2
675,1
687,1
698,1
702,1
706,2
717,1
721,1
723,2
724,1
728,1
731,1
732,1
751,4
752,2
753,1
756,3
763,1
768,1
771,1
773,2
774,4
777,1
778,5
779,1
788,1
791,1
792,3
808,1
814,1
815,1
816,1
817,3
818,3
819,3
820,1
824,2
825,4
849,1
852,1
861,1
866,1
875,1
877,1
878,1
884,1
886,4
887,1
889,1
891,1
892,2
894,1
902,1
906,1
911,1
912,1
913,1
914,1
915,3
916,3
917,2
919,1
922,1
923,2
924,1
930,1
932,1
935,1
948,1
953,1
954,1
955,1
976,1
978,1
980,1
981,1
987,1
992,3
993,1
995,1
1014,1
1016,2
1017,2
